City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maydanshakhr,34.3956,68.8662,7.73,84,79,2.47,AF,1713617879
1,portland,45.5234,-122.6762,10.23,58,0,0.0,US,1713617437
2,alesund,62.4723,6.1549,7.17,45,40,6.69,NO,1713617880
3,tolanaro,-25.0319,46.9987,27.04,74,40,3.09,MG,1713617881
4,hammerfest,70.6634,23.6821,-2.75,63,0,4.63,NO,1713617882
5,grytviken,-54.2811,-36.5092,5.56,99,100,0.84,GS,1713617882
6,kyshtovka,56.555,76.6271,4.63,73,100,1.79,RU,1713617883
7,nuuk,64.1835,-51.7216,-3.66,86,75,8.75,GL,1713617654
8,port-aux-francais,-49.35,70.2167,6.77,97,100,12.69,TF,1713617884
9,hithadhoo,-0.6,73.0833,29.59,67,100,0.31,MV,1713617885
10,puerto aysen,-45.4,-72.7,5.14,100,100,1.91,CL,1713617886
11,hawaiian paradise park,19.5933,-154.9731,20.73,98,100,0.45,US,1713617887
12,extrema,-22.8547,-46.3183,21.25,68,30,1.0,BR,1713617887
13,stribro,49.7529,13.0041,8.47,67,100,5.77,CZ,1713617888
14,yellowknife,62.456,-114.3525,-2.55,97,100,5.66,CA,1713617889
15,sabang,5.8933,95.3214,29.04,73,99,7.03,ID,1713617890
16,yaren,-0.5472,166.916,28.76,74,100,4.03,NR,1713617891
17,kingston,17.997,-76.7936,27.87,74,20,3.09,JM,1713617655
18,kodiak,57.79,-152.4072,3.73,93,100,4.63,US,1713617892
19,bethel,41.3712,-73.414,10.01,89,100,1.54,US,1713617893
20,al bardiyah,31.7561,25.0865,19.71,49,0,9.14,LY,1713617894
21,katsuren-haebaru,26.3369,127.8719,24.21,89,20,6.69,JP,1713617895
22,waitangi,-43.9535,-176.5597,12.75,79,100,2.65,NZ,1713617896
23,longyearbyen,78.2186,15.6401,-0.09,64,75,8.23,SJ,1713617896
24,beyneu,45.3167,55.2,30.57,16,4,7.86,KZ,1713617897
25,ribeira grande,38.5167,-28.7,18.22,88,40,6.26,PT,1713617898
26,akureyri,65.6835,-18.0878,7.96,66,75,6.17,IS,1713617899
27,barra do corda,-5.5,-45.25,27.47,86,100,1.67,BR,1713617899
28,uturoa,-16.7333,-151.4333,28.41,76,17,8.27,PF,1713617900
29,iskateley,67.6803,53.1512,-9.99,93,100,9.39,RU,1713617901
30,tazovsky,67.4667,78.7,-15.88,93,100,4.18,RU,1713617901
31,west island,-12.1568,96.8225,27.99,83,75,8.75,CC,1713617902
32,puerto ayora,-0.7393,-90.3518,24.74,87,14,1.04,EC,1713617903
33,hakui,36.8833,136.7833,14.01,88,95,4.62,JP,1713617904
34,mana,5.6592,-53.7767,28.64,70,100,4.31,GF,1713617904
35,constantia,44.1833,28.65,10.39,79,100,10.52,RO,1713617905
36,petauke,-14.2426,31.3253,26.82,47,100,2.53,ZM,1713617906
37,tegal,-6.8694,109.1402,27.88,82,100,1.83,ID,1713617907
38,barreirinhas,-2.7469,-42.8264,30.15,67,100,3.2,BR,1713617908
39,urangan,-25.3,152.9,17.89,95,100,4.02,AU,1713617908
40,dakhla,23.6848,-15.958,24.01,53,94,9.77,EH,1713617909
41,isafjordur,66.0755,-23.124,9.02,76,100,5.14,IS,1713617910
42,edinburgh of the seven seas,-37.0676,-12.3116,14.18,69,89,7.15,SH,1713617910
43,chopinzinho,-25.8558,-52.5233,18.85,56,0,2.79,BR,1713617911
44,anadyr,64.75,177.4833,-13.72,84,20,4.0,RU,1713617912
45,zaozersk,69.4005,32.4476,-4.66,70,100,11.33,RU,1713617913
46,wailua homesteads,22.0669,-159.378,22.24,83,100,7.72,US,1713617914
47,coquimbo,-29.9533,-71.3436,14.85,88,100,2.06,CL,1713617720
48,lihue,21.9789,-159.3672,22.58,78,100,7.72,US,1713617624
49,hotan,37.0997,79.9269,21.54,19,83,3.06,CN,1713617916
50,puerto natales,-51.7236,-72.4875,3.25,81,40,4.63,CL,1713617917
51,bornu yassu,12.2774,12.5552,42.6,7,15,4.02,NG,1713617917
52,olonkinbyen,70.9221,-8.7187,-2.04,96,100,13.39,SJ,1713617918
53,ust-nera,64.5667,143.2,-12.82,95,6,1.59,RU,1713617919
54,nabire,-3.3667,135.4833,25.97,87,100,1.19,ID,1713617919
55,nova sintra,14.8667,-24.7167,23.25,82,8,13.64,CV,1713617920
56,stanley,54.868,-1.6985,9.74,60,40,3.09,GB,1713617921
57,blackmans bay,-43.0167,147.3167,10.29,85,100,0.89,AU,1713617921
58,adamstown,-25.066,-130.1015,22.71,71,86,11.12,PN,1713617922
59,albany,42.6001,-73.9662,11.21,85,100,0.45,US,1713617923
60,sao jose de ribamar,-2.5619,-44.0542,28.21,74,100,2.79,BR,1713617923
61,tiksi,71.6872,128.8694,-6.55,90,100,2.48,RU,1713617924
62,general conesa,-40.1,-64.4333,14.07,44,50,1.94,AR,1713617925
63,hadibu,12.65,54.0333,29.63,67,55,2.13,YE,1713617925
64,pisco,-13.7,-76.2167,20.57,88,91,1.03,PE,1713617926
65,tapa,59.2606,25.9586,2.91,61,100,3.42,EE,1713617927
66,santiago de cao,-7.9589,-79.2392,19.07,88,40,3.6,PE,1713617927
67,mugia,43.1041,-9.2179,22.73,66,4,6.81,ES,1713617928
68,zouerate,22.7187,-12.4521,30.73,15,100,4.78,MR,1713617929
69,qaqortoq,60.7167,-46.0333,-2.57,69,1,1.12,GL,1713617929
70,tindouf,27.6711,-8.1474,26.25,19,20,9.77,DZ,1713617930
71,al khums,32.6486,14.2619,18.91,51,22,4.54,LY,1713617931
72,saudarkrokur,65.7461,-19.6394,5.81,99,100,8.28,IS,1713617931
73,utrik,11.2278,169.8474,27.49,79,15,6.46,MH,1713617932
74,gadzhiyevo,69.2551,33.3362,-4.25,67,100,12.41,RU,1713617933
75,margaret river,-33.95,115.0667,17.74,66,100,2.22,AU,1713617933
76,kongwa,-6.2,36.4167,26.48,59,100,3.14,TZ,1713617934
77,vilyuysk,63.7553,121.6247,0.56,100,100,3.58,RU,1713617935
78,salinopolis,-0.6136,-47.3561,27.52,88,100,2.74,BR,1713617935
79,i-n-salah,27.1935,2.4607,38.76,5,8,7.97,DZ,1713617936
80,saquarema,-22.92,-42.5103,25.08,65,0,0.39,BR,1713617937
81,lazaro cardenas,17.9583,-102.2,21.31,77,0,1.65,MX,1713617937
82,coihueco,-36.6167,-71.8333,7.41,93,0,3.6,CL,1713617938
83,luderitz,-26.6481,15.1594,23.85,57,80,3.91,NA,1713617938
84,port mathurin,-19.6833,63.4167,26.15,73,63,9.01,MU,1713617939
85,tura,25.5198,90.2201,27.64,38,8,1.81,IN,1713617940
86,san pedro de ycuamandiyu,-24.0917,-57.0764,25.47,47,0,2.62,PY,1713617940
87,papatowai,-46.5619,169.4708,11.58,88,100,6.52,NZ,1713617941
88,olinda,-8.0089,-34.8553,26.85,94,100,0.0,BR,1713617942
89,okha,53.5739,142.9478,-0.42,94,100,6.26,RU,1713617943
90,hamilton,39.1834,-84.5333,10.64,61,0,3.6,US,1713617943
91,xichang,27.8964,102.2634,13.95,83,100,4.54,CN,1713617944
92,ushuaia,-54.8,-68.3,1.81,80,100,11.83,AR,1713617866
93,ponta delgada,37.7333,-25.6667,18.44,77,20,4.12,PT,1713617945
94,paso de los libres,-29.7131,-57.0899,19.93,66,0,3.68,AR,1713617946
95,yuryuzan',54.8633,58.4219,24.49,39,56,2.68,RU,1713617946
96,cidreira,-30.1811,-50.2056,21.61,63,0,2.74,BR,1713617947
97,holualoa,19.6228,-155.9522,19.91,73,0,2.06,US,1713617948
98,paveh,35.0434,46.3565,21.26,30,100,3.46,IR,1713617949
99,soro,21.2881,86.6858,35.78,36,8,6.8,IN,1713617949
100,avarua,-21.2078,-159.775,25.03,88,75,3.09,CK,1713617950
101,bad langensalza,51.1,10.65,10.43,53,99,5.19,DE,1713617951
102,bardai,11.65,7.2333,39.47,15,76,2.75,NG,1713617951
103,remire-montjoly,4.9167,-52.2667,29.02,79,75,5.14,GF,1713617952
104,fedorovskiy,45.0972,40.9517,24.54,48,100,7.16,RU,1713617952
105,berbera,10.4396,45.0143,31.19,73,100,6.1,SO,1713617953
106,kattivakkam,13.2167,80.3167,33.05,79,78,6.23,IN,1713617954
107,sysert',56.4953,60.8192,26.99,39,98,2.93,RU,1713617954
108,punta arenas,-53.15,-70.9167,3.06,75,40,8.75,CL,1713617955
109,iqaluit,63.7506,-68.5145,-17.15,77,40,1.54,CA,1713617956
110,cole harbour,44.6724,-63.4751,6.63,83,100,3.58,CA,1713617956
111,mohr,54.3528,9.7167,10.58,47,100,4.12,DE,1713617957
112,palasa,18.7667,84.4167,30.11,72,100,6.18,IN,1713617958
113,port elizabeth,-33.918,25.5701,23.39,90,100,4.12,ZA,1713617958
114,agara,42.0376,43.8238,25.79,39,100,9.96,GE,1713617959
115,al ghayzah,16.2079,52.176,29.49,70,37,5.27,YE,1713617960
116,happy valley-goose bay,53.3168,-60.3315,5.17,42,75,7.2,CA,1713617960
117,lebu,-37.6167,-73.65,11.35,73,8,4.78,CL,1713617961
118,la passe,45.5549,-0.8967,15.23,54,6,7.3,FR,1713617962
119,keflavik,64.0049,-22.5624,9.24,100,100,13.89,IS,1713617962
120,invercargill,-46.4,168.35,11.68,89,100,3.58,NZ,1713617963
121,aasiaat,68.7098,-52.8699,-6.86,88,99,5.53,GL,1713617964
122,saipan,15.1355,145.701,28.39,78,20,4.63,MP,1713617964
123,krasnyy chikoy,50.3643,108.7512,3.73,78,99,2.24,RU,1713617965
124,dudinka,69.4058,86.1778,-14.07,93,100,2.24,RU,1713617966
125,inarajan village,13.2736,144.7484,28.54,89,80,6.73,GU,1713617966
126,cockburn town,21.4612,-71.1419,24.94,69,0,6.25,TC,1713617967
127,belmonte,-15.8631,-38.8828,28.07,67,67,5.94,BR,1713617968
128,lompoc,34.6391,-120.4579,12.23,94,100,2.57,US,1713617968
129,afaahiti,-17.75,-149.2833,25.93,75,16,6.32,PF,1713617969
130,naze,28.3667,129.4833,21.51,89,100,5.93,JP,1713617970
131,kasempa,-13.4584,25.8338,27.16,41,100,2.99,ZM,1713617970
132,dwarka,22.2394,68.9678,27.44,66,100,6.12,IN,1713617971
133,camayenne,9.535,-13.6878,31.05,70,20,4.12,GN,1713617972
134,kapuskasing,49.4169,-82.4331,-0.95,93,100,5.66,CA,1713617972
135,buarcos,40.166,-8.8768,28.46,67,100,4.65,PT,1713617973
136,suva,-18.1416,178.4415,25.71,89,75,3.09,FJ,1713617974
137,egilsstadir,65.2653,-14.3948,7.95,71,75,6.69,IS,1713617974
138,thompson,55.7435,-97.8558,-1.91,69,75,3.6,CA,1713617975
139,college,64.8569,-147.8028,0.99,66,20,3.6,US,1713617976
140,badger,64.8,-147.5333,0.95,67,0,3.6,US,1713617977
141,charters towers,-20.1,146.2667,23.19,66,100,6.05,AU,1713617960
142,usinsk,65.9939,57.5281,-6.07,80,100,9.39,RU,1713617978
143,maxixe,-23.8597,35.3472,28.9,88,20,4.12,MZ,1713617979
144,klyuchi,52.2667,79.1667,12.31,36,1,4.19,RU,1713617979
145,ilulissat,69.2167,-51.1,-7.25,84,100,2.91,GL,1713617980
146,atafu village,-8.5421,-172.5159,29.58,74,15,4.72,TK,1713617981
147,yanchep,-31.55,115.6833,22.56,46,0,2.6,AU,1713617982
148,ma'an,26.9775,110.7211,18.98,85,100,1.75,CN,1713617983
149,tuy hoa,13.0833,109.3,25.91,87,2,3.24,VN,1713617983
150,new norfolk,-42.7826,147.0587,10.95,89,100,1.55,AU,1713617984
